source_id,n_profiles,seed,rmse
0b5e30c9-8c3f-401b-9931-91ac59b2662a,1,0,3.2239658273986818
0b5e30c9-8c3f-401b-9931-91ac59b2662a,1,1,2.550204671717048
0b5e30c9-8c3f-401b-9931-91ac59b2662a,1,2,2.4242105839506385
0b5e30c9-8c3f-401b-9931-91ac59b2662a,1,3,2.0632140428802783
0b5e30c9-8c3f-401b-9931-91ac59b2662a,1,4,2.777059708509074
0b5e30c9-8c3f-401b-9931-91ac59b2662a,2,0,1.6304044623990606
0b5e30c9-8c3f-401b-9931-91ac59b2662a,2,1,2.634352836388481
0b5e30c9-8c3f-401b-9931-91ac59b2662a,2,2,2.9049319824028843
0b5e30c9-8c3f-401b-9931-91ac59b2662a,2,3,1.9077787648249922
0b5e30c9-8c3f-401b-9931-91ac59b2662a,2,4,1.426950485219886
0b5e30c9-8c3f-401b-9931-91ac59b2662a,5,0,1.5899976802637483
0b5e30c9-8c3f-401b-9931-91ac59b2662a,5,1,1.9769072747315042
0b5e30c9-8c3f-401b-9931-91ac59b2662a,5,2,2.8828965698533175
0b5e30c9-8c3f-401b-9931-91ac59b2662a,5,3,1.6086626565082693
0b5e30c9-8c3f-401b-9931-91ac59b2662a,5,4,1.8957866851523058
0b5e30c9-8c3f-401b-9931-91ac59b2662a,10,0,1.7349548169425033
0b5e30c9-8c3f-401b-9931-91ac59b2662a,10,1,2.3736671116582317
0b5e30c9-8c3f-401b-9931-91ac59b2662a,10,2,2.536066900276708
0b5e30c9-8c3f-401b-9931-91ac59b2662a,10,3,1.9422088365079802
0b5e30c9-8c3f-401b-9931-91ac59b2662a,10,4,1.9078502656536362
0b5e30c9-8c3f-401b-9931-91ac59b2662a,15,0,1.7998524166115184
0b5e30c9-8c3f-401b-9931-91ac59b2662a,15,1,1.8976541594200909
0b5e30c9-8c3f-401b-9931-91ac59b2662a,15,2,2.6498696291911195
0b5e30c9-8c3f-401b-9931-91ac59b2662a,15,3,1.7640502605082706
0b5e30c9-8c3f-401b-9931-91ac59b2662a,15,4,1.7939683969215146
0b5e30c9-8c3f-401b-9931-91ac59b2662a,20,0,1.952305916361506
0b5e30c9-8c3f-401b-9931-91ac59b2662a,20,1,2.0774624872473817
0b5e30c9-8c3f-401b-9931-91ac59b2662a,20,2,2.401887132811391
0b5e30c9-8c3f-401b-9931-91ac59b2662a,20,3,1.6767729754327254
0b5e30c9-8c3f-401b-9931-91ac59b2662a,20,4,1.5850237776837763
0b5e30c9-8c3f-401b-9931-91ac59b2662a,25,0,1.951786685306651
0b5e30c9-8c3f-401b-9931-91ac59b2662a,25,1,2.0841831659365546
0b5e30c9-8c3f-401b-9931-91ac59b2662a,25,2,2.0328794993954475
0b5e30c9-8c3f-401b-9931-91ac59b2662a,25,3,1.6378439274263232
0b5e30c9-8c3f-401b-9931-91ac59b2662a,25,4,2.0744209282202886
0b5e30c9-8c3f-401b-9931-91ac59b2662a,30,0,1.9073406625094633
0b5e30c9-8c3f-401b-9931-91ac59b2662a,30,1,1.8168063216841164
0b5e30c9-8c3f-401b-9931-91ac59b2662a,30,2,1.934300270712905
0b5e30c9-8c3f-401b-9931-91ac59b2662a,30,3,1.6641723411469558
0b5e30c9-8c3f-401b-9931-91ac59b2662a,30,4,2.033305159174948
0b5e30c9-8c3f-401b-9931-91ac59b2662a,35,0,2.035468276806147
0b5e30c9-8c3f-401b-9931-91ac59b2662a,35,1,1.8841356532449984
0b5e30c9-8c3f-401b-9931-91ac59b2662a,35,2,2.0496146374770587
0b5e30c9-8c3f-401b-9931-91ac59b2662a,35,3,1.6607496126455716
0b5e30c9-8c3f-401b-9931-91ac59b2662a,35,4,2.2294424758511333
0b5e30c9-8c3f-401b-9931-91ac59b2662a,40,0,1.8071816792025028
0b5e30c9-8c3f-401b-9931-91ac59b2662a,40,1,1.9429816991171611
0b5e30c9-8c3f-401b-9931-91ac59b2662a,40,2,2.09853938589857
0b5e30c9-8c3f-401b-9931-91ac59b2662a,40,3,1.8721299479323446
0b5e30c9-8c3f-401b-9931-91ac59b2662a,40,4,1.997932856997373
0b5e30c9-8c3f-401b-9931-91ac59b2662a,45,0,2.0449578174521967
0b5e30c9-8c3f-401b-9931-91ac59b2662a,45,1,2.0523764133563267
0b5e30c9-8c3f-401b-9931-91ac59b2662a,45,2,1.989595008489015
0b5e30c9-8c3f-401b-9931-91ac59b2662a,45,3,1.888778857266053
0b5e30c9-8c3f-401b-9931-91ac59b2662a,45,4,1.9212076457599359
0b5e30c9-8c3f-401b-9931-91ac59b2662a,50,0,1.8475102632002502
0b5e30c9-8c3f-401b-9931-91ac59b2662a,50,1,1.9748983393523312
0b5e30c9-8c3f-401b-9931-91ac59b2662a,50,2,1.8784888402416486
0b5e30c9-8c3f-401b-9931-91ac59b2662a,50,3,1.9353810386850658
0b5e30c9-8c3f-401b-9931-91ac59b2662a,50,4,2.0203865693981626
