source_id,n_profiles,seed,rmse
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,1,0,1.5107340712209927
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,1,1,1.95838354944538
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,1,2,2.8720823895687166
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,1,3,1.3570361533642061
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,1,4,1.7408313004478448
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,2,0,1.600131470067317
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,2,1,1.805172987924448
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,2,2,2.0106971576646244
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,2,3,1.6037953560317535
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,2,4,1.8791995678176556
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,5,0,1.385073205233074
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,5,1,2.5071772291873224
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,5,2,1.7164546204543798
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,5,3,1.9243046913715836
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,5,4,1.5798363119099614
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,10,0,1.4373259192769103
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,10,1,1.5832084204522883
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,10,2,1.7346287745930373
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,10,3,1.9339587728907048
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,10,4,1.4418515722734486
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,15,0,1.5763508371821573
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,15,1,2.048234285161164
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,15,2,1.794222505847298
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,15,3,1.722978382040868
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,15,4,1.3698056423444513
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,20,0,1.6265826959484162
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,20,1,1.8309586791500083
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,20,2,1.8039252411687396
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,20,3,1.5709414798695827
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,20,4,1.4267935799615679
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,25,0,1.733095367408568
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,25,1,2.0018934835441247
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,25,2,1.6553519537360724
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,25,3,1.4906470624736845
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,25,4,1.655192535749008
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,30,0,1.9056144292170183
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,30,1,1.9860915753063948
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,30,2,1.9737248491831947
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,30,3,1.4598199211680603
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,30,4,1.5209780539545426
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,35,0,1.8082568834761408
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,35,1,1.9120736275848522
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,35,2,1.8780889251047121
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,35,3,1.564169056297225
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,35,4,1.8626435273284858
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,40,0,1.8299601121423066
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,40,1,1.9990704737820388
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,40,2,1.678477409432001
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,40,3,1.6947146892857876
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,40,4,1.6339503726934472
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,45,0,1.7160028881523026
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,45,1,1.7000941871625286
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,45,2,1.6991217445129996
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,45,3,1.8101498730737147
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,45,4,1.7652037786488224
