source_id,n_profiles,seed,rmse
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,1,0,2.900539597569632
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,1,1,4.228819749113107
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,1,2,3.2410076071970755
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,1,3,5.367504341456994
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,1,4,4.340610449988961
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,2,0,3.101426725466287
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,2,1,3.2869029649367154
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,2,2,2.9259060458043686
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,2,3,4.8868570604350525
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,2,4,3.2882790117787697
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,5,0,3.1768850840224796
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,5,1,3.3049579614380793
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,5,2,2.7476213447732647
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,5,3,3.9296093059099904
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,5,4,3.405221824229818
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,10,0,3.2132729360300516
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,10,1,2.750186783963653
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,10,2,2.571870610540313
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,10,3,3.9078287320697838
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,10,4,2.7933841943819884
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,15,0,2.462532943782402
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,15,1,2.3307245597463293
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,15,2,2.439052262567987
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,15,3,3.769672794454654
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,15,4,2.832373239926244
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,20,0,2.4046218565561506
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,20,1,2.3770486117603986
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,20,2,2.4616982639781377
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,20,3,3.6861616840621867
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,20,4,2.825001299392918
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,25,0,2.33561958606645
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,25,1,2.2684625359256643
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,25,2,2.3707363715847776
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,25,3,3.9463329366512534
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,25,4,2.5004072398269193
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,30,0,2.206541853850815
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,30,1,2.310515244443685
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,30,2,2.4232820723081083
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,30,3,2.9926127881444406
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,30,4,2.2968137098652583
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,35,0,2.276887378127559
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,35,1,2.314929376428532
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,35,2,2.21511414528758
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,35,3,2.657575400076572
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,35,4,2.4523399352636632
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,40,0,2.1475396468678807
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,40,1,2.2667741555298666
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,40,2,2.2377900318108535
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,40,3,2.687212010978303
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,40,4,2.301088680014775
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,45,0,2.3377384682250706
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,45,1,2.275237934093763
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,45,2,2.1128716884299137
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,45,3,2.6997375380403126
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,45,4,2.3100153025257812
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,50,0,2.2763041514681297
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,50,1,2.1810008385605726
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,50,2,2.1428093012668614
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,50,3,2.538530449794588
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,50,4,2.296357040040064
