source_id,n_profiles,seed,rmse
adfdf197-9f62-4650-8866-676709b89aee,1,0,1.5808165341552296
adfdf197-9f62-4650-8866-676709b89aee,1,1,1.5583856165840622
adfdf197-9f62-4650-8866-676709b89aee,1,2,1.5179961109480835
adfdf197-9f62-4650-8866-676709b89aee,1,3,1.3939789902463715
adfdf197-9f62-4650-8866-676709b89aee,1,4,1.3887910989081587
adfdf197-9f62-4650-8866-676709b89aee,2,0,1.395624158627666
adfdf197-9f62-4650-8866-676709b89aee,2,1,1.6252080364100097
adfdf197-9f62-4650-8866-676709b89aee,2,2,1.7306207941466274
adfdf197-9f62-4650-8866-676709b89aee,2,3,1.5292675213316054
adfdf197-9f62-4650-8866-676709b89aee,2,4,1.378367280385572
adfdf197-9f62-4650-8866-676709b89aee,5,0,1.4362451298808734
adfdf197-9f62-4650-8866-676709b89aee,5,1,1.5369049372807826
adfdf197-9f62-4650-8866-676709b89aee,5,2,1.3190967776784608
adfdf197-9f62-4650-8866-676709b89aee,5,3,2.434861145818741
adfdf197-9f62-4650-8866-676709b89aee,5,4,1.5675523326709464
adfdf197-9f62-4650-8866-676709b89aee,10,0,1.9728873792188921
adfdf197-9f62-4650-8866-676709b89aee,10,1,1.5417977929135254
adfdf197-9f62-4650-8866-676709b89aee,10,2,1.2641723258295494
adfdf197-9f62-4650-8866-676709b89aee,10,3,2.533515048247365
adfdf197-9f62-4650-8866-676709b89aee,10,4,1.4811388276394162
adfdf197-9f62-4650-8866-676709b89aee,15,0,1.4767820133096543
adfdf197-9f62-4650-8866-676709b89aee,15,1,1.4629203473754517
adfdf197-9f62-4650-8866-676709b89aee,15,2,1.2776569549053756
adfdf197-9f62-4650-8866-676709b89aee,15,3,1.6185001931018903
adfdf197-9f62-4650-8866-676709b89aee,15,4,1.4794355749394437
adfdf197-9f62-4650-8866-676709b89aee,20,0,1.4257724143631167
adfdf197-9f62-4650-8866-676709b89aee,20,1,1.4674957984862604
adfdf197-9f62-4650-8866-676709b89aee,20,2,1.3117983027206057
adfdf197-9f62-4650-8866-676709b89aee,20,3,1.4946985817696705
adfdf197-9f62-4650-8866-676709b89aee,20,4,1.438274213747685
adfdf197-9f62-4650-8866-676709b89aee,25,0,1.4147519972159477
adfdf197-9f62-4650-8866-676709b89aee,25,1,1.290440427980625
adfdf197-9f62-4650-8866-676709b89aee,25,2,1.265394900673172
adfdf197-9f62-4650-8866-676709b89aee,25,3,1.6197011042705622
adfdf197-9f62-4650-8866-676709b89aee,25,4,1.328037029664109
adfdf197-9f62-4650-8866-676709b89aee,30,0,1.3407749003419303
adfdf197-9f62-4650-8866-676709b89aee,30,1,1.4031161201328524
adfdf197-9f62-4650-8866-676709b89aee,30,2,1.2915760032843577
adfdf197-9f62-4650-8866-676709b89aee,30,3,1.38584930792803
adfdf197-9f62-4650-8866-676709b89aee,30,4,1.3060393677749842
adfdf197-9f62-4650-8866-676709b89aee,35,0,1.446945330962775
adfdf197-9f62-4650-8866-676709b89aee,35,1,1.3408674287836528
adfdf197-9f62-4650-8866-676709b89aee,35,2,1.2986705181017943
adfdf197-9f62-4650-8866-676709b89aee,35,3,1.323800180196533
adfdf197-9f62-4650-8866-676709b89aee,35,4,1.3137953341353876
adfdf197-9f62-4650-8866-676709b89aee,40,0,1.4172074459885728
adfdf197-9f62-4650-8866-676709b89aee,40,1,1.4062518845463163
adfdf197-9f62-4650-8866-676709b89aee,40,2,1.2949617857794997
adfdf197-9f62-4650-8866-676709b89aee,40,3,1.3184254018439179
adfdf197-9f62-4650-8866-676709b89aee,40,4,1.3077869891856597
adfdf197-9f62-4650-8866-676709b89aee,45,0,1.3174042606582563
adfdf197-9f62-4650-8866-676709b89aee,45,1,1.3110949123635613
adfdf197-9f62-4650-8866-676709b89aee,45,2,1.2880754054398074
adfdf197-9f62-4650-8866-676709b89aee,45,3,1.2966501713647256
adfdf197-9f62-4650-8866-676709b89aee,45,4,1.4084317233995642
adfdf197-9f62-4650-8866-676709b89aee,50,0,1.350368845182179
adfdf197-9f62-4650-8866-676709b89aee,50,1,1.3560161003136948
adfdf197-9f62-4650-8866-676709b89aee,50,2,1.2740408778943304
adfdf197-9f62-4650-8866-676709b89aee,50,3,1.3285881130856134
adfdf197-9f62-4650-8866-676709b89aee,50,4,1.29698625220478
