source_id,n_profiles,seed,rmse
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,1,0,2.220890280391084
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,1,1,2.728952610841838
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,1,2,2.5365630026409303
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,1,3,4.24286199628948
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,1,4,2.665019400674636
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,2,0,2.710916583905085
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,2,1,4.397226379490526
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,2,2,2.6867685830298704
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,2,3,2.892441953375988
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,2,4,3.3584168644640937
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,5,0,2.4461298891397782
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,5,1,3.04344253444
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,5,2,3.1684841747008963
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,5,3,2.650779148534135
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,5,4,2.9968348756249714
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,10,0,2.9205449642402046
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,10,1,3.2205357150869207
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,10,2,2.7879839290624817
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,10,3,2.4767524899421374
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,10,4,2.5029032399767797
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,15,0,3.040349453369941
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,15,1,3.022924165654551
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,15,2,2.973961734381612
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,15,3,2.7594847106922384
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,15,4,2.7224566211546266
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,20,0,2.834568940630843
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,20,1,3.1565178850447895
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,20,2,3.067263800989207
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,20,3,3.0368955808524123
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,20,4,2.6785864439377756
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,25,0,3.0632244287400034
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,25,1,2.8261572234015606
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,25,2,2.9461484515278777
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,25,3,2.991860780425505
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,25,4,2.685269541660231
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,30,0,3.27187936405049
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,30,1,3.185443071374587
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,30,2,2.8225884692580037
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,30,3,3.4507392710971145
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,30,4,2.6999651544734826
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,35,0,3.3338440352813654
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,35,1,3.1218390047475784
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,35,2,3.118928030300009
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,35,3,3.3262810772407176
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,35,4,2.804558007886044
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,40,0,3.0788803314184143
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,40,1,3.3532288995740718
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,40,2,3.440760575614717
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,40,3,3.3466679526308507
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,40,4,2.8645437096205786
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,45,0,2.970796731421678
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,45,1,3.4039453076097597
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,45,2,3.45314464605561
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,45,3,3.412723194503382
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,45,4,3.0323630576589307
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,50,0,3.261103626885212
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,50,1,2.9984991304554285
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,50,2,3.267013666424984
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,50,3,3.1416587251082535
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,50,4,3.2886523110251025
