target_id,source_ids,pb0_rmse,pgmtl_rmse,n_obs_sp,n_obs_su,dif_max_depth,dif_surface_area,dif_glm_strat_perc,perc_dif_max_depth,perc_dif_surface_area,perc_dif_sqrt_surface_area
nhdhr_143418975,nhdhr_nhdhr_121860894 : nhdhr_nhdhr_45385910 : nhdhr_nhdhr_120019704 : nhdhr_nhdhr_155635994 : nhdhr_nhdhr_166867866 : nhdhr_nhdhr_120020343 : nhdhr_nhdhr_139269431 : nhdhr_nhdhr_91692521 : nhdhr_nhdhr_105954753,3.3995460079791084,2.983870376307267,1152.0,2835.0,11.904490000000001,142448957.98,0.016016427104722786,71.50808021862409,160.35624680632705,100.37210533105578
nhdhr_{4EA76133-68CD-4DA8-A82B-0B568CD9C9B2},nhdhr_nhdhr_143249864 : nhdhr_nhdhr_120020211 : nhdhr_nhdhr_120020343 : nhdhr_nhdhr_120020844 : nhdhr_nhdhr_120018102 : nhdhr_nhdhr_91684979 : nhdhr_nhdhr_45385910 : nhdhr_nhdhr_120019636 : nhdhr_nhdhr_120020208,1.337473288776301,1.3966666862325519,269.0,361.0,1.8288000000000006,-4148618.9437999995,0.3347022587268994,42.85714285714287,163.6310659835075,103.8929206392843
nhdhr_{E940A362-4076-4895-A23F-1B8CCC905DEE},nhdhr_nhdhr_166867866 : nhdhr_nhdhr_120018211 : nhdhr_nhdhr_121623043 : nhdhr_nhdhr_155635994 : nhdhr_nhdhr_143249640 : nhdhr_nhdhr_120018114 : nhdhr_nhdhr_120020240 : nhdhr_nhdhr_120020354 : nhdhr_nhdhr_45730390,3.8117392471786378,2.1647415100868144,113.0,790.0,-2.1336000000000013,-9815758.875999998,0.12313483915126622,9.150326797385626,135.95746222643115,78.43355961908084
nhdhr_105567402,nhdhr_nhdhr_105954753 : nhdhr_nhdhr_126212479 : nhdhr_nhdhr_120018379 : nhdhr_nhdhr_143418891 : nhdhr_nhdhr_120019704 : nhdhr_nhdhr_139269431 : nhdhr_nhdhr_120018114 : nhdhr_nhdhr_45730390 : nhdhr_nhdhr_121622699,1.8540224290731577,1.4057410336535474,962.0,1402.0,14.012,-480795416.77,0.3152635181382614,109.41746056535999,198.42534514636435,176.34077654793916
nhdhr_120019058,nhdhr_nhdhr_143249192 : nhdhr_nhdhr_74924599 : nhdhr_nhdhr_143249640 : nhdhr_nhdhr_166867866 : nhdhr_nhdhr_69886228 : nhdhr_nhdhr_120019854 : nhdhr_nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307 : nhdhr_nhdhr_120018100 : nhdhr_nhdhr_120019638,3.4465000647340753,1.9630178710187602,220.0,972.0,-15.849599999999995,-22534233.259999998,-0.06659822039698837,33.12101910828025,96.97045892937669,51.72872250483045
nhdhr_120019354,nhdhr_nhdhr_143249470 : nhdhr_nhdhr_69886228 : nhdhr_nhdhr_120019854 : nhdhr_nhdhr_143249640 : nhdhr_nhdhr_91692521 : nhdhr_nhdhr_166867866 : nhdhr_nhdhr_120019371 : nhdhr_nhdhr_120018114 : nhdhr_nhdhr_120020354,3.2107112744765063,3.05297433691053,854.0,1483.0,-30.759999999999998,-178392227.992,0.059137577002053465,100.45721750489875,185.7684246619453,135.55031486315684
nhdhr_120020090,nhdhr_nhdhr_75654673 : nhdhr_nhdhr_120020343 : nhdhr_nhdhr_143416561 : nhdhr_nhdhr_120020206 : nhdhr_nhdhr_120019704 : nhdhr_nhdhr_120018211 : nhdhr_nhdhr_120019636 : nhdhr_nhdhr_143418891 : nhdhr_nhdhr_120020844,1.4728779892451243,1.2206359209038566,951.0,969.0,0.6095999999999999,-5835143.777000001,0.134154688569473,14.285714285714285,115.95354734244535,63.893933551774836
nhdhr_26F12E6A-07D1-4DC6-8BEA-980AD41B687A,nhdhr_nhdhr_120018211 : nhdhr_nhdhr_120020240 : nhdhr_nhdhr_143249640 : nhdhr_nhdhr_139269431 : nhdhr_nhdhr_143249192 : nhdhr_nhdhr_120018032 : nhdhr_nhdhr_81002103 : nhdhr_nhdhr_167256799 : nhdhr_nhdhr_80005045,2.6516595579005564,1.4556493223449305,950.0,1521.0,-1.2017200000000017,-2484966.026,0.0030800821355236874,7.889826580335452,62.61449794813,32.11445819540944
nhdhr_EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,nhdhr_nhdhr_120018114 : nhdhr_nhdhr_143249470 : nhdhr_nhdhr_105954753 : nhdhr_nhdhr_120019513 : nhdhr_nhdhr_69886228 : nhdhr_nhdhr_120019371 : nhdhr_nhdhr_143249192 : nhdhr_nhdhr_143249640 : nhdhr_nhdhr_91692521,5.075474649537428,2.505438989366683,937.0,1140.0,-31.9,-898692936.85,-0.04175222450376459,83.83705650459922,187.04241615201855,138.13164724838532
nhdhr_120020567,nhdhr_nhdhr_120018211 : nhdhr_nhdhr_120019638 : nhdhr_nhdhr_166867866 : nhdhr_nhdhr_120018133 : nhdhr_nhdhr_81002103 : nhdhr_nhdhr_80005045 : nhdhr_nhdhr_120020240 : nhdhr_nhdhr_120020343 : nhdhr_nhdhr_121623043,2.4053363561033243,2.5382675872548988,1018.0,1464.0,-15.24,-4545305.697000001,-0.11293634496919913,66.66666666666667,75.83448862291424,39.38786860714424
