source_id,n_profiles,seed,rmse
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},1,0,1.7639189225290908
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},1,1,1.7310891927657603
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},1,2,3.54188509339655
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},1,3,1.9963260641545724
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},1,4,1.5996413488554628
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},2,0,1.8348366593066772
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},2,1,2.110021709843879
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},2,2,3.337799431845613
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},2,3,1.981193650408555
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},2,4,1.7172765088401962
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},5,0,1.7385874929673648
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},5,1,2.605698841401629
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},5,2,3.3781473233277883
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},5,3,2.8031938141582065
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},5,4,2.931597284264544
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},10,0,2.7979217095269977
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},10,1,2.25146313687055
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},10,2,3.129187921172755
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},10,3,2.261746692066828
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},10,4,3.0741414597217815
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},15,0,3.180762641911872
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},15,1,2.5099378111655906
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},15,2,2.709462223705697
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},15,3,2.4099842792861357
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},15,4,2.962070388431692
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},20,0,2.9723243486852997
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},20,1,2.2039501342491103
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},20,2,2.7036383119999394
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},20,3,2.8418242417497988
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},20,4,2.7014423101908194
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},25,0,3.206746442830571
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},25,1,2.659902427738386
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},25,2,2.8484157292318866
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},25,3,2.959508317326074
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},25,4,2.754743005946408
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},30,0,3.2495873896960807
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},30,1,2.6498660031180266
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},30,2,2.773671864523313
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},30,3,2.599182847564591
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},30,4,2.8338861959985073
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},35,0,3.0766012257017445
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},35,1,2.3556489117612327
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},35,2,2.8294437837049435
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},35,3,3.0501316451671046
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},35,4,2.6419721413507666
