target_id,ens_rmse,single_rmse,glm_rmse,glm_t_rmse
nhdhr_{4EA76133-68CD-4DA8-A82B-0B568CD9C9B2},1.498899998,1.671975757,1.461656364,1.378549936
nhdhr_{4F6A1C28-CFA9-45C9-B597-E2E6526275B8},2.427711163,2.894066172,3.224098792,2.738948191
nhdhr_{62B48949-8CCC-4BA3-989E-AA1FE86C363D},2.158918872,2.229815864,4.068488229,2.542158082
nhdhr_{E940A362-4076-4895-A23F-1B8CCC905DEE},2.485602283,2.423707918,3.823393038,2.638737012
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,2.12210938,1.986242484,2.552360395,3.674818898
nhdhr_105231881,2.514966286,2.773660427,3.275447941,3.234838498
nhdhr_105567402,1.864106641,2.112600097,1.965002554,1.740638845
nhdhr_107074156,1.889049259,1.939849986,1.622431844,2.30595776
nhdhr_107074838,3.369765095,4.807740567,2.178587938,4.382418551
nhdhr_109981506,1.915146585,2.258698686,3.192415417,2.333826984
nhdhr_113471457,1.691379148,2.643972849,1.878556882,4.717157342
nhdhr_114542575,1.704853049,2.265770059,1.729518142,1.968667002
nhdhr_114544961,2.191582153,2.347807792,1.612740235,1.943634929
nhdhr_120017991,1.65598978,1.82029031,2.8496953,2.477292727
nhdhr_120017997,1.144433897,2.269200761,2.530566277,1.789100624
nhdhr_120018005,1.282934332,1.418456519,1.948758751,1.523171959
nhdhr_120018007,2.33627163,2.151327158,4.72882608,2.33715226
nhdhr_120018008,1.467978325,1.48468909,2.088091736,1.862563458
nhdhr_120018012,3.054609907,3.57367345,4.106061347,4.064500138
nhdhr_120018013,3.508813383,3.308507115,4.310365407,4.242583418
nhdhr_120018014,1.198270803,1.726710534,1.740916572,1.656883094
nhdhr_120018017,1.716866702,2.58473293,2.677831612,2.235402186
nhdhr_120018025,1.666160091,1.950447517,2.341573119,2.178793803
nhdhr_120018027,1.885426977,2.212373743,2.77384214,2.457259616
nhdhr_120018036,2.67278746,3.631639589,2.404587982,3.702675069
nhdhr_120018038,1.472234509,1.417988817,2.422660155,1.799122747
nhdhr_120018046,2.710864803,3.129263098,2.677268479,3.51437442
nhdhr_120018047,1.518400384,1.746684501,2.753879073,2.125304757
nhdhr_120018055,2.103841765,2.144661096,3.101115159,2.526724684
nhdhr_120018060,1.946086192,2.577432291,2.860696803,2.480727056
nhdhr_120018061,2.482896566,2.644293888,2.291416879,2.492610831
nhdhr_120018072,1.351209669,1.505414293,3.149642993,1.933449794
nhdhr_120018073,1.84301866,1.874589997,2.904476361,2.404174732
nhdhr_120018078,1.843399702,1.933436545,2.487970603,2.108106123
nhdhr_120018079,1.758748036,2.568934358,3.265612384,2.280233162
nhdhr_120018085,2.523105253,3.174271615,4.026770125,2.791992043
nhdhr_120018088,2.219811272,2.497955555,3.03032807,2.879484857
nhdhr_120018091,1.750029854,2.060627306,2.829103414,2.170139074
nhdhr_120018092,2.113035968,2.073145483,2.401061031,2.289580394
nhdhr_120018098,1.896565602,2.182156876,2.150932435,1.998228946
nhdhr_120018103,2.184138236,2.343177206,4.276961861,2.275531959
nhdhr_120018106,2.344951207,2.56912777,4.121174985,2.507493033
nhdhr_120018120,2.379170029,2.103451505,3.108677295,2.772435477
nhdhr_120018135,1.625933898,1.81141877,2.525072771,1.925795443
nhdhr_120018136,1.418962669,1.425439981,2.778969053,1.92027337
nhdhr_120018182,1.654303297,1.677024495,2.797178896,3.096027729
nhdhr_120018204,1.487623644,1.774530451,2.485703446,1.635007163
nhdhr_120018220,2.090113865,2.415180272,2.715808916,3.915171847
nhdhr_120018226,2.046377555,2.252514856,2.874219414,1.974613116
nhdhr_120018233,1.469390629,2.368374639,2.057547772,1.676900946
nhdhr_120018361,1.267177061,1.614737493,1.925731525,1.527743268
nhdhr_120018423,1.3656567,1.580712624,2.163285999,1.586268709
nhdhr_120018493,2.494721786,3.218561386,4.375038969,3.77902096
nhdhr_120018495,3.575805383,2.442906571,2.305780685,4.024009325
nhdhr_120018510,2.466393383,1.855791122,1.933182068,3.806439206
nhdhr_120018511,1.920806686,2.613533589,1.884054365,2.089279389
nhdhr_120018981,1.82919666,2.800397404,5.013131715,3.964564654
nhdhr_120019016,2.101303004,2.331776335,2.043763092,1.92154919
nhdhr_120019058,2.130643913,4.695766647,3.449883876,4.646102142
nhdhr_120019246,1.533339579,1.811279641,1.84775943,1.815679753
nhdhr_120019336,2.359657547,2.432149197,2.32082267,2.967589496
nhdhr_120019354,3.050543577,4.26281764,3.214051561,3.193032165
nhdhr_120019661,6.107800025,6.589642691,3.51630191,6.020593732
nhdhr_120019732,3.211472979,3.40003532,4.395646143,4.360491764
nhdhr_120019861,3.068556964,2.96314135,3.397755716,3.163931234
nhdhr_120019864,2.264333202,2.350108842,3.006499523,2.551903599
nhdhr_120019913,2.65094479,2.568897393,3.022750247,2.68506474
nhdhr_120019932,2.247825128,3.026709466,4.562950076,3.000570089
nhdhr_120020090,1.764801136,2.233517301,1.549275751,1.229704949
nhdhr_120020198,2.015547098,2.067737284,2.702290971,2.60050792
nhdhr_120020200,1.851666715,2.175333693,3.156765443,1.938493066
nhdhr_120020207,1.268162219,1.56588649,2.309852097,1.475795333
nhdhr_120020212,1.711813188,1.943443652,2.10024737,1.992360972
nhdhr_120020213,1.331519929,1.727204426,2.623057852,1.636965642
nhdhr_120020220,1.276605659,1.515923914,1.752783178,1.860354514
nhdhr_120020225,1.617633997,1.800934985,2.448196863,2.040277594
nhdhr_120020235,1.185605874,1.325358849,2.160210217,1.633999272
nhdhr_120020236,1.094800663,1.291009902,2.084293079,1.438106409
nhdhr_120020245,1.552381015,2.073613459,2.45241578,2.126355331
