nhd_id,pgmtl_rmse,glm_rmse,spearman,lowest_predicted,improvement
70334219,1.54971173,10.16688243,0.7055446336,1.816172267,-8.617170705
72863203,1.625558309,10.07422901,0.6787202463,1.233947852,-8.4486707
91688775,1.531027337,9.803605687,0.477084035,0.9093860535,-8.27257835
70332223,1.744687541,8.965862376,0.4972782029,1.313354981,-7.221174835
47726570,1.859390126,7.217075569,0.7359465196,1.585255788,-5.357685443
120018006,1.939113083,6.231053634,-0.04707338278,0.2463825228,-4.291940551
120018120,2.048651869,6.302994794,0.7365417904,1.899659393,-4.254342925
91684663,2.342047794,6.243330994,0.3716721625,1.487095984,-3.9012832
37648257,1.583877499,5.233598846,0.3342543059,1.416366964,-3.649721347
143398250,1.6903904,5.289546352,0.3368703641,0.9877159459,-3.599155952
120019704,1.801379606,5.23978468,0.5407584219,0.5282608305,-3.438405074
45730422,1.444069075,4.859605306,0.4052246755,1.283558977,-3.415536231
72862895,1.483137881,4.722349148,0.86911289,1.446946439,-3.239211268
91595755,1.317874803,4.524757895,0.8731387999,1.398264181,-3.206883092
143249413,1.427225705,4.534911342,0.9062742318,1.572699643,-3.107685636
120020236,0.9833772249,4.075246899,0.4517184526,0.1028176089,-3.091869674
34132376,1.322292781,4.216613321,0.8633677442,1.388841694,-2.89432054
1101778,1.681039429,4.444011941,0.7620777298,2.25480545,-2.762972512
10596466,1.09919991,3.484844605,0.7311980607,0.4776703817,-2.385644695
68840139,2.770974942,5.13837158,0.3161435856,2.018055956,-2.367396638
45728298,3.096343975,5.403892877,0.6645042413,1.534428641,-2.307548902
86274695,1.566087099,3.611911052,0.9207017145,1.546501984,-2.045823953
129225129,1.248830912,3.284189522,0.691518567,2.572048508,-2.03535861
120019371,1.592085211,3.623934279,0.9278880421,0.7448944189,-2.031849068
1099526,1.511170132,3.533883488,0.8330794295,2.099243074,-2.022713356
120018345,1.539965796,3.505169953,0.7858885591,1.35583727,-1.965204157
120018220,0.9855199205,2.9000313,0.8440351523,0.2826638597,-1.914511379
34130988,1.670918703,3.544265232,0.784396466,2.031738465,-1.873346529
120018493,1.953349751,3.826591244,0.9308820189,2.509812823,-1.873241494
120020206,1.279403136,3.094512943,0.9251975751,1.052041402,-1.815109807
58125937,2.328735556,4.134015432,0.8179998903,1.973731952,-1.805279875
120019638,1.798590614,3.548129466,0.9092153392,1.982785427,-1.749538851
120018346,1.318488181,3.015680267,0.894180837,1.750431531,-1.697192086
120018233,1.201306407,2.861181837,0.6295986622,0.7797256471,-1.65987543
120020567,1.876615737,3.519885785,0.7766461977,2.281566506,-1.643270048
120019732,2.931412962,4.555654837,0.9308174007,0.8025069462,-1.624241875
91595175,1.862016774,3.474542651,0.7903844196,1.739060068,-1.612525877
37648633,1.402551896,2.995279402,0.8092470609,2.198465715,-1.592727506
120020844,1.633559403,3.210278777,0.1278833426,0.4109161302,-1.576719374
120018061,1.55124291,3.025711671,0.8029575556,1.905220836,-1.474468761
120020203,2.300365752,3.764295433,0.5321387451,2.068332761,-1.463929681
1102366,1.374674986,2.787383695,0.9224052854,1.381987815,-1.412708709
120018073,1.645303554,3.010599053,0.7574526329,1.998424988,-1.3652955
34127966,1.599963673,2.946401071,0.4565471948,1.728446886,-1.346437397
120018089,1.847742189,3.152558016,0.8778187244,2.143584716,-1.304815827
1099476,1.942788467,3.234186698,0.839680277,1.865241149,-1.291398231
120017989,0.9289170038,2.151134593,0.4576946574,1.216205442,-1.222217589
120053694,1.704066438,2.905058601,0.7134476358,1.600131194,-1.200992163
166867866,1.941790222,3.122958555,0.9297913419,1.597221804,-1.181168334
120019024,2.739249944,3.886165559,0.925657735,1.845251825,-1.146915615
1101754,1.136633849,2.21933466,0.9613406907,2.021928913,-1.082700811
91687083,1.342493913,2.414829052,0.5781919435,1.187617882,-1.072335139
