,PGMTL,GLM_uncal,GLM_uncal (on test),,stratified,> max depth,< min depth,> max sa,< min sa
34128651,3.667558632,9.861034656,9.861034656,-6.193476023,FALSE,FALSE,TRUE,FALSE,FALSE
120018070,1.834370116,7.305907115,7.305907115,-5.471536998,FALSE,FALSE,TRUE,FALSE,FALSE
34126579,2.822860761,6.82772492,6.82772492,-4.004864159,FALSE,FALSE,TRUE,FALSE,FALSE
34131807,1.504371651,4.8482841,4.8482841,-3.343912449,TRUE,FALSE,FALSE,FALSE,TRUE
91684663,3.273528408,6.469285523,6.469285523,-3.195757115,TRUE,FALSE,FALSE,FALSE,FALSE
120020334,1.513248478,4.592989715,4.592989715,-3.079741237,TRUE,FALSE,FALSE,FALSE,FALSE
91688775,4.722477614,7.690651385,7.690651385,-2.968173771,FALSE,FALSE,TRUE,FALSE,FALSE
120018006,3.395445573,6.188810944,6.188810944,-2.793365371,FALSE,FALSE,TRUE,FALSE,FALSE
120018108,2.698978954,5.430740199,5.430740199,-2.731761245,TRUE,FALSE,TRUE,FALSE,FALSE
37647805,2.885164777,5.599585646,5.599585646,-2.71442087,FALSE,FALSE,TRUE,FALSE,TRUE
121860894,3.181810264,5.844508169,5.844508169,-2.662697905,TRUE,FALSE,FALSE,FALSE,FALSE
120018102,2.138461858,4.760740396,4.760740396,-2.622278538,TRUE,FALSE,FALSE,FALSE,FALSE
34127708,1.071064371,3.676212448,3.676212448,-2.605148077,TRUE,FALSE,FALSE,FALSE,FALSE
120018130,1.202885509,3.806805134,3.806805134,-2.603919625,TRUE,FALSE,FALSE,FALSE,TRUE
120018094,3.165839748,5.759703612,5.759703612,-2.593863864,FALSE,FALSE,TRUE,FALSE,FALSE
143250615,2.799708736,5.37956543,5.37956543,-2.579856695,TRUE,FALSE,FALSE,FALSE,FALSE
166870380,2.44151183,4.962789883,4.962789883,-2.521278053,FALSE,FALSE,FALSE,FALSE,FALSE
86274823,2.743725219,5.263999183,5.263999183,-2.520273964,TRUE,FALSE,FALSE,FALSE,FALSE
91595509,3.606157058,6.094013484,6.094013484,-2.487856427,TRUE,FALSE,FALSE,FALSE,TRUE
2384584,1.210355111,3.6771099,3.6771099,-2.466754789,TRUE,FALSE,FALSE,FALSE,FALSE
70331641,2.402399012,4.834350143,4.834350143,-2.431951132,TRUE,FALSE,FALSE,FALSE,FALSE
120017997,1.357663957,3.664035392,3.664035392,-2.306371435,FALSE,FALSE,TRUE,FALSE,FALSE
120019932,2.295589039,4.53350844,4.53350844,-2.2379194,TRUE,FALSE,FALSE,FALSE,FALSE
120019704,3.101651782,5.302679461,5.302679461,-2.201027679,FALSE,FALSE,FALSE,FALSE,FALSE
120018364,2.399244289,4.596698297,4.596698297,-2.197454008,TRUE,FALSE,FALSE,FALSE,FALSE
120020373,2.445021232,4.639518044,4.639518044,-2.194496813,TRUE,FALSE,FALSE,FALSE,FALSE
91691299,2.576460113,4.750769762,4.750769762,-2.174309649,FALSE,FALSE,FALSE,FALSE,FALSE
120018204,1.494998502,3.590811914,3.590811914,-2.095813412,TRUE,FALSE,FALSE,FALSE,FALSE
120018459,2.396442716,4.463077087,4.463077087,-2.066634371,TRUE,FALSE,FALSE,FALSE,FALSE
121623043,1.561945182,3.598195414,3.598195414,-2.036250232,TRUE,FALSE,FALSE,FALSE,FALSE
91596049,1.680088105,3.700442977,3.700442977,-2.020354873,FALSE,FALSE,TRUE,FALSE,FALSE
58126057,1.562842826,3.540609994,3.540609994,-1.977767168,FALSE,FALSE,FALSE,FALSE,FALSE
34119718,3.148689803,5.116261509,5.116261509,-1.967571706,FALSE,FALSE,TRUE,FALSE,FALSE
120020210,3.103237369,5.070131803,5.070131803,-1.966894434,TRUE,FALSE,TRUE,FALSE,FALSE
68840139,3.948649709,5.866909907,5.866909907,-1.918260198,TRUE,FALSE,FALSE,FALSE,FALSE
1099476,1.705996353,3.606835888,3.606835888,-1.900839535,TRUE,FALSE,FALSE,FALSE,FALSE
37648633,1.43633415,3.336971348,3.336971348,-1.900637198,TRUE,FALSE,FALSE,FALSE,FALSE
167256799,1.547205087,3.384307248,3.384307248,-1.837102161,TRUE,FALSE,FALSE,FALSE,FALSE
58126421,1.922393724,3.721384484,3.721384484,-1.79899076,FALSE,FALSE,FALSE,FALSE,FALSE
34130818,1.861738868,3.614900075,3.614900075,-1.753161208,TRUE,FALSE,FALSE,FALSE,FALSE
