target_nhd_id,pg1,pg2,pg3,pgAvg,rn1,rn2,rn3,rnAvg
12160852,1.3479061,1.259125,1.1909984,1.3479061,1.177661,1.4102246,1.0920545,1.177661
13393533,1.7184111,1.7463555,1.7811545,1.7184111,2.1538088,1.9212193,1.6721078,2.1538088
120052587,1.7538348,1.8463126,1.9384307,1.7538348,1.9986262,1.8237004,1.9431243,1.9986262
13393567,1.5109581,1.2304255,1.3345653,1.5109581,1.3563651,1.6148239,1.4780341,1.3563651
13294464,1.7468032,1.9219657,1.8255943,1.7468032,1.8996464,2.2041745,2.0355232,1.8996464
10596466,1.8378227,1.9482757,2.233812,1.8378227,2.012147,2.391121,2.0443623,2.012147
1099240,2.6291873,2.5181746,2.5116072,2.6291873,3.0433996,2.6292706,2.7072496,3.0433996
13344056,1.2296156,1.1057667,1.2258857,1.2296156,1.2139851,1.1613417,1.3047825,1.2139851
14783883,2.229487,3.0155468,2.6014812,2.229487,2.488565,3.2000055,2.9077282,2.488565
4250588,2.0180254,2.0902543,1.5720574,2.0180254,1.6495488,2.0276685,1.7271532,1.6495488
2353946,1.3200885,1.8113354,1.9543309,1.3200885,1.7646883,1.8950723,1.9849892,1.7646883
2648034,2.2649894,2.2767043,2.1460133,2.2649894,2.3977535,2.5139337,2.7633603,2.3977535
1102088,1.5178553,1.8644835,1.5418059,1.5178553,1.6619709,1.6356473,1.4763002,1.6619709
1101812,1.6300237,1.4639162,1.8248652,1.6300237,1.7413554,1.7089779,1.8780558,1.7413554
1102284,2.12988,2.37022,2.1779575,2.12988,2.5423994,2.6621623,2.276319,2.5423994
1101544,2.075583,1.6760771,2.273195,2.075583,1.8812063,2.728716,2.000644,1.8812063
2385648,1.5647117,1.8742118,1.7830373,1.5647117,1.8028046,1.7488356,1.6159289,1.8028046
1101506,2.545511,2.457485,2.4880419,2.545511,2.8712072,2.9130194,2.4471748,2.8712072
1101778,1.8153275,2.0615067,1.9042857,1.8153275,2.0486574,2.3655355,1.8253669,2.0486574
2349198,1.607987,1.4515581,1.8845389,1.607987,1.6224936,1.6015348,1.8646332,1.6224936
1102366,1.700746,1.5446708,1.8151271,1.700746,2.4905252,1.703265,2.0153341,2.4905252
120052351,0.99836653,1.0179766,1.1872175,0.99836653,1.4559878,1.0616121,1.1655753,1.4559878
1099052,1.3834087,1.5055299,1.4435867,1.3834087,1.6201199,1.6010213,1.5207434,1.6201199
2385496,1.5263009,1.6006699,1.689151,1.5263009,1.7712734,2.252445,1.8830336,1.7712734
13631637,1.4378558,1.1525367,1.2057071,1.4378558,1.4646804,1.4144119,1.5679317,1.4646804
1099420,1.4636123,1.8934666,1.5361494,1.4636123,1.7025082,1.9528311,1.5778002,1.7025082
1099476,1.6948293,1.8245105,1.6957434,1.6948293,2.0175555,2.049886,2.0751815,2.0175555
1099450,2.005931,1.6958398,1.7653518,2.005931,1.881144,1.9059006,1.7566246,1.881144
13294928,1.6652347,1.6349875,1.8038989,1.6652347,1.5632329,1.8077865,1.9676152,1.5632329
2385444,1.9082068,2.1309228,1.8065789,1.9082068,1.8310585,1.8026125,2.090582,1.8310585
4250586,1.6661198,1.6503159,1.6819333,1.6661198,1.3489699,1.7629449,1.6595724,1.3489699
120053694,2.1668599,2.082462,2.034183,2.1668599,2.1891744,2.0193262,2.159927,2.1891744
1099526,1.683834,1.608085,1.6927193,1.683834,1.8645446,1.6390034,1.8170964,1.8645446
2384766,1.4469044,1.3382688,1.5749651,1.4469044,1.4407669,1.39494,1.6330583,1.4407669
1099282,2.1546009,2.0883408,2.055086,2.1546009,1.9993017,2.2419808,1.9617088,1.9993017
1101636,2.1755557,1.6307381,1.8356864,2.1755557,1.8013687,1.6537381,1.5576683,1.8013687
2349188,1.2608469,1.162579,1.5730541,1.2608469,1.7716699,1.3253587,1.313934,1.7716699
13290898,1.4813753,1.5398996,1.2192978,1.4813753,1.7645223,1.5752718,1.6086519,1.7645223
2384584,1.3739259,1.4860612,1.4969455,1.3739259,1.3907603,1.5613939,1.4603504,1.3907603
