target_site_id(nhdhr),nhdhr_target_id(nhdhr),PGML_transfer,GLM_transfer,Spearman,GLM_uncal_RMSE
{4EA76133-68CD-4DA8-A82B-0B568CD9C9B2},nhdhr_{4EA76133-68CD-4DA8-A82B-0B568CD9C9B2},1.19563697,1.843447717,0.3073019997,1.313901214
{4F6A1C28-CFA9-45C9-B597-E2E6526275B8},nhdhr_{4F6A1C28-CFA9-45C9-B597-E2E6526275B8},2.649232362,2.738948191,0.3123248307,2.940623417
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},nhdhr_{62B48949-8CCC-4BA3-989E-AA1FE86C363D},2.075923608,2.542158082,0.6945953393,2.914688278
{E940A362-4076-4895-A23F-1B8CCC905DEE},nhdhr_{E940A362-4076-4895-A23F-1B8CCC905DEE},2.998199475,2.638737012,0.6691426547,3.383330834
0b5e30c9-8c3f-401b-9931-91ac59b2662a,nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,1.838253639,3.590234242,0.8629389073,2.562850843
105231881,nhdhr_105231881,2.673968269,2.675855087,0.789194615,1.948787081
105567402,nhdhr_105567402,1.553550317,2.138103714,0.3119666194,2.10508975
107074156,nhdhr_107074156,2.022720361,2.30595776,0.9237875925,2.389520576
107074838,nhdhr_107074838,2.445121704,3.277559439,0.3651039206,2.775784668
109981506,nhdhr_109981506,3.330720632,3.341734284,0.8006022674,4.970856971
113471457,nhdhr_113471457,2.166368585,2.883725692,0.9063375846,2.542958542
114542575,nhdhr_114542575,1.742532663,2.338620429,0.8810344828,1.534325621
114544961,nhdhr_114544961,2.425331336,1.891632667,0.03258148323,3.778844898
120017991,nhdhr_120017991,1.645233383,2.477292727,0.7768068021,3.661277794
120017997,nhdhr_120017997,2.204330744,1.789100624,0.3664816564,2.587343056
120018005,nhdhr_120018005,1.585160846,1.523171959,0.3586364352,2.71114741
120018007,nhdhr_120018007,2.043970562,2.413925476,0.1341481656,4.98126606
120018008,nhdhr_120018008,1.881879583,2.040649823,0.8014761455,3.957824775
120018012,nhdhr_120018012,3.560429132,4.064500138,0.3822232719,5.536654885
120018013,nhdhr_120018013,4.575182141,4.242583418,0.120606991,5.930796309
120018014,nhdhr_120018014,1.575749441,1.777706613,0.8459494568,2.084282919
120018017,nhdhr_120018017,2.52779931,2.235402186,0.2324122185,2.341077728
120018025,nhdhr_120018025,2.279784754,2.212163031,0.7948079043,2.918156775
120018027,nhdhr_120018027,1.549028594,2.409434653,0.5907809794,3.513354241
120018036,nhdhr_120018036,3.253145082,3.702675069,0.5647457093,3.187260876
120018038,nhdhr_120018038,1.642507922,1.799122747,0.8343095575,3.396733086
120018046,nhdhr_120018046,2.776816531,3.51437442,0.8787631869,3.262803521
120018047,nhdhr_120018047,1.710634772,1.939674122,0.5251732011,1.928947647
120018055,nhdhr_120018055,3.562440161,2.363684286,0.7778341993,3.826279271
120018060,nhdhr_120018060,1.548818168,2.480727056,0.7930168477,3.97611961
120018061,nhdhr_120018061,1.386831096,2.885724356,0.5643717525,3.352176079
120018072,nhdhr_120018072,2.01904874,1.767721705,0.9251535191,3.889603329
120018073,nhdhr_120018073,2.227812208,3.102162275,0.7958825382,4.2828001
120018078,nhdhr_120018078,3.059590592,2.063687752,0.4788379783,3.231690168
120018079,nhdhr_120018079,1.630405876,2.526403646,0.8953078255,3.27124177
120018085,nhdhr_120018085,1.330973531,3.18120086,0.55338923,5.093022872
120018088,nhdhr_120018088,1.514358895,2.879484857,0.8820421981,3.654484139
120018091,nhdhr_120018091,2.173948533,2.170139074,0.8676586364,3.469158594
120018092,nhdhr_120018092,2.264675719,2.289580394,0.760541647,4.994839678
120018098,nhdhr_120018098,2.234568021,1.998228946,0.3602582271,3.720837656
120018103,nhdhr_120018103,2.61006056,2.949946442,0.5196032121,4.848926892
120018106,nhdhr_120018106,1.825807745,2.366842194,0.4589710282,4.683259221
120018120,nhdhr_120018120,3.827015622,1.794400055,0.642603527,4.015204662
120018135,nhdhr_120018135,1.769126054,2.65702077,0.4382538183,2.37909105
120018136,nhdhr_120018136,2.437060674,1.887274892,0.9294363092,4.733574269
120018182,nhdhr_120018182,1.563579141,1.954667378,0.3292316171,4.394974775
120018204,nhdhr_120018204,1.533209083,2.063826444,0.2049992127,4.294085503
120018220,nhdhr_120018220,1.257363859,3.915171847,0.6832506692,2.623420458
120018226,nhdhr_120018226,2.349713739,2.169957362,0.2328255393,3.764450803
120018233,nhdhr_120018233,1.300059887,1.676900946,0.6724807117,3.093071183
120018361,nhdhr_120018361,1.394223451,1.527743268,0.2178475831,2.186373188
120018423,nhdhr_120018423,1.360130819,1.586268709,0.5364470162,5.341327222
120018493,nhdhr_120018493,2.287505213,3.212513872,0.9036372225,3.50878158
120018495,nhdhr_120018495,2.435471342,3.722833591,0.7000039364,1.805760172
120018510,nhdhr_120018510,2.91276207,3.806439206,0.8043851362,1.728562643
120018511,nhdhr_120018511,1.340699564,1.93899897,0.8466186427,2.726063456
120018981,nhdhr_120018981,1.691849763,4.568109538,0.7970949457,1.968791214
120019016,nhdhr_120019016,2.588012966,1.92154919,0.8626633601,2.022812609
120019058,nhdhr_120019058,4.536807363,1.980851084,0.7138560857,3.77392656
120019246,nhdhr_120019246,1.504912273,2.02516586,0.8809163911,1.675025378
